Incident_ID,Timestamp,District,Zone,Incident_Type,Severity_Level,Affected_Population,Casualties,Required_Resources,Response_Time_Mins,Status,Reported_By
INC-2019-0001,2019-05-16T19:59:11.067Z,Kilinochchi,EAST_NORTH,Flood,4,14848,6,Boats|Rescue Teams|Dry Rations|Medical Kits,19,RESOLVED,CITIZEN
INC-2021-0002,2021-04-07T13:29:46.707Z,Colombo,WET,Flood,3,4077,0,Boats|Rescue Teams|Dry Rations|Medical Kits,95,RESOLVED,CITIZEN
INC-2024-0003,2024-04-28T23:28:29.471Z,Anuradhapura,DRY,Flood,2,6540,0,Dry Rations|Medical Kits,110,RESOLVED,CITIZEN
INC-2024-0004,2024-06-24T23:06:35.057Z,Nuwara Eliya,HILL,Flood,2,6620,0,Dry Rations|Medical Kits,103,RESOLVED,OFFICER
INC-2019-0005,2019-05-17T06:23:00.183Z,Gampaha,WET,Flood,4,11216,0,Boats|Rescue Teams|Dry Rations|Medical Kits,61,RESOLVED,CITIZEN
INC-2023-0006,2023-06-24T20:25:26.992Z,Kandy,HILL,Landslide,1,188,0,Dry Rations|Medical Kits,93,RESOLVED,CITIZEN
INC-2024-0007,2024-09-14T00:56:14.100Z,Badulla,HILL,Landslide,5,195,11,Boats|Rescue Teams|Dry Rations|Medical Kits,163,RESOLVED,OFFICER
INC-2020-0008,2020-02-11T02:07:31.042Z,Kalutara,WET,Animal Attack,1,5,2,Wildlife Officers|Veterinary Kits,50,RESOLVED,OFFICER
INC-2024-0009,2024-11-21T08:50:18.126Z,Kandy,HILL,Landslide,2,326,0,Dry Rations|Medical Kits,59,RESOLVED,CITIZEN
INC-2024-0010,2024-03-05T11:11:17.524Z,Badulla,HILL,Flood,2,3708,0,Dry Rations|Medical Kits,91,RESOLVED,CITIZEN
INC-2021-0011,2021-06-12T09:48:10.740Z,Galle,WET,Flood,3,7947,0,Boats|Rescue Teams|Dry Rations|Medical Kits,69,RESOLVED,CITIZEN
INC-2022-0012,2022-05-09T19:15:36.684Z,Matara,WET,Flood,3,8757,0,Boats|Rescue Teams|Dry Rations|Medical Kits,103,RESOLVED,CITIZEN
INC-2021-0013,2021-12-18T15:09:47.502Z,Colombo,WET,High Winds/Cyclone,4,21376,4,,85,RESOLVED,CITIZEN
INC-2019-0014,2019-09-22T10:55:03.969Z,Galle,WET,Flood,3,5202,0,Boats|Rescue Teams|Dry Rations|Medical Kits,62,RESOLVED,CITIZEN
INC-2019-0015,2019-02-17T19:02:56.690Z,Ratnapura,HILL,Flood,3,17424,0,Boats|Rescue Teams|Dry Rations|Medical Kits,70,RESOLVED,CITIZEN
INC-2022-0016,2022-06-30T06:09:26.762Z,Kegalle,HILL,Landslide,3,1128,6,Boats|Rescue Teams|Dry Rations|Medical Kits,80,RESOLVED,CITIZEN
INC-2020-0017,2020-11-04T11:12:45.065Z,Polonnaruwa,DRY,Drought,2,75998,0,Water Bowsers|Dry Rations,3231,RESOLVED,CITIZEN
INC-2022-0018,2022-07-09T20:44:17.016Z,Kandy,HILL,Landslide,1,201,0,Dry Rations|Medical Kits,173,RESOLVED,CITIZEN
INC-2018-0019,2018-07-25T23:12:01.760Z,Badulla,HILL,Flood,2,3004,0,Dry Rations|Medical Kits,46,RESOLVED,SENSOR
INC-2021-0020,2021-04-26T09:30:50.268Z,Matara,WET,Animal Attack,1,1,2,Wildlife Officers|Veterinary Kits,89,RESOLVED,CITIZEN
INC-2024-0021,2024-04-17T12:16:09.849Z,Monaragala,DRY,Animal Attack,1,3,0,Wildlife Officers|Veterinary Kits,48,RESOLVED,CITIZEN
INC-2024-0022,2024-09-03T22:58:34.615Z,Gampaha,WET,Flood,2,4992,0,Dry Rations|Medical Kits,20,RESOLVED,CITIZEN
INC-2025-0023,2025-10-25T18:17:56.712Z,Kurunegala,DRY,Drought,4,181844,0,Water Bowsers|Dry Rations,1981,RESOLVED,OFFICER
INC-2018-0024,2018-02-20T14:16:25.453Z,Jaffna,EAST_NORTH,High Winds/Cyclone,1,1029,0,,118,RESOLVED,CITIZEN
INC-2023-0025,2023-05-22T02:36:26.310Z,Matara,WET,Flood,4,3120,3,Boats|Rescue Teams|Dry Rations|Medical Kits,86,RESOLVED,OFFICER
INC-2025-0026,2025-12-14T04:50:14.689Z,Kurunegala,DRY,High Winds/Cyclone,1,1697,0,,82,RESOLVED,OFFICER
INC-2020-0027,2020-12-06T06:51:58.474Z,Kilinochchi,EAST_NORTH,Flood,3,14490,0,Boats|Rescue Teams|Dry Rations|Medical Kits,57,RESOLVED,CITIZEN
INC-2019-0028,2019-08-02T20:52:07.492Z,Matara,WET,High Winds/Cyclone,2,7248,0,,115,RESOLVED,CITIZEN
INC-2025-0029,2025-03-26T16:35:00.928Z,Gampaha,WET,Flood,1,841,0,Dry Rations|Medical Kits,104,RESOLVED,CITIZEN
INC-2020-0030,2020-01-20T02:05:37.309Z,Polonnaruwa,DRY,Flood,3,16389,0,Boats|Rescue Teams|Dry Rations|Medical Kits,73,RESOLVED,CITIZEN
INC-2025-0031,2025-04-13T17:26:49.582Z,Galle,WET,Animal Attack,1,6,0,Wildlife Officers|Veterinary Kits,73,RESOLVED,SENSOR
INC-2018-0032,2018-04-08T05:02:55.129Z,Monaragala,DRY,Flood,2,4272,0,Dry Rations|Medical Kits,100,RESOLVED,CITIZEN
INC-2020-0033,2020-06-13T16:27:14.261Z,Matara,WET,Flood,4,4752,8,Boats|Rescue Teams|Dry Rations|Medical Kits,32,RESOLVED,CITIZEN
INC-2019-0034,2019-02-10T03:55:38.765Z,Polonnaruwa,DRY,High Winds/Cyclone,1,886,0,,82,RESOLVED,CITIZEN
INC-2024-0035,2024-12-13T19:00:59.517Z,Mannar,DRY,Flood,4,26000,6,Boats|Rescue Teams|Dry Rations|Medical Kits,23,RESOLVED,CITIZEN
INC-2019-0036,2019-04-20T18:55:42.982Z,Ratnapura,HILL,Flood,4,13584,0,Boats|Rescue Teams|Dry Rations|Medical Kits,43,RESOLVED,MEDIA
INC-2023-0037,2023-09-26T03:46:08.598Z,Nuwara Eliya,HILL,Flood,4,28144,4,Boats|Rescue Teams|Dry Rations|Medical Kits,66,RESOLVED,OFFICER
INC-2020-0038,2020-11-04T08:12:02.049Z,Polonnaruwa,DRY,Drought,1,45825,0,Water Bowsers|Dry Rations,3881,RESOLVED,MEDIA
INC-2022-0039,2022-12-07T17:53:52.686Z,Matara,WET,Animal Attack,1,9,1,Wildlife Officers|Veterinary Kits,48,RESOLVED,CITIZEN
INC-2022-0040,2022-12-16T08:25:50.646Z,Galle,WET,Animal Attack,2,8,0,Wildlife Officers|Veterinary Kits,56,RESOLVED,SENSOR
INC-2020-0041,2020-03-10T17:48:50.125Z,Kalutara,WET,Flood,2,2908,0,Dry Rations|Medical Kits,33,RESOLVED,OFFICER
INC-2023-0042,2023-09-15T23:10:08.317Z,Batticaloa,EAST_NORTH,Drought,2,55770,0,Water Bowsers|Dry Rations,3301,RESOLVED,CITIZEN
INC-2024-0043,2024-07-06T13:14:43.286Z,Nuwara Eliya,HILL,Landslide,1,327,0,Dry Rations|Medical Kits,147,RESOLVED,CITIZEN
