Incident_ID,Timestamp,District,Incident_Type,Affected_Population,Has_Children,Has_Elderly,Has_Disabled,Expert_Label_Officer_1,Expert_Label_Officer_2
INC-2026-1861,2026-08-23T05:32:38,Colombo,Building Collapse,46,True,False,False,,
INC-2026-0354,2026-04-27T02:24:04,Nuwara Eliya,Flood,3753,False,False,False,,
INC-2025-1334,2025-06-30T04:47:53,Kandy,Landslide,1649,False,True,True,,
INC-2026-0906,2026-05-06T12:43:15,Nuwara Eliya,Flood,5955,True,False,False,,
INC-2025-1290,2025-11-27T19:50:34,Anuradhapura,Drought,1742,True,True,False,,
INC-2025-1274,2025-10-01T07:51:14,Gampaha,Medical Emergency,39,True,False,False,,
INC-2025-0939,2025-12-15T19:03:30,Matara,High Winds/Cyclone,317,True,True,False,,
INC-2025-1732,2025-08-29T16:08:28,Galle,High Winds/Cyclone,146,True,True,False,,
INC-2025-0066,2025-11-06T05:51:39,Kandy,Flood,3130,False,True,False,,
INC-2026-1324,2026-06-12T17:36:57,Galle,High Winds/Cyclone,149,False,False,False,,
INC-2025-0057,2025-04-24T01:37:03,Badulla,Forest Fire,41,False,True,True,,
INC-2026-1293,2026-03-30T01:32:49,Nuwara Eliya,Landslide,1206,True,True,False,,
INC-2026-1119,2026-06-01T21:09:33,Badulla,Forest Fire,27,False,False,False,,
INC-2025-0585,2025-04-29T08:58:05,Rathnapura,Flood,2161,False,True,False,,
INC-2025-0375,2025-03-28T04:33:58,Kandy,Flood,3568,False,False,False,,
INC-2026-0276,2026-05-05T20:12:18,Galle,High Winds/Cyclone,182,True,True,False,,
INC-2025-0747,2025-08-06T14:14:12,Kegalle,High Winds/Cyclone,600,True,True,False,,
INC-2025-0129,2025-05-01T11:40:19,Gampaha,Medical Emergency,27,False,False,False,,
INC-2026-1647,2026-08-04T19:05:21,Monaragala,Forest Fire,40,True,False,False,,
INC-2026-1853,2026-03-07T01:29:43,Rathnapura,Flood,2843,False,True,False,,
INC-2026-0675,2026-07-03T23:53:22,Rathnapura,Flood,2408,True,False,False,,
INC-2025-1665,2025-12-10T00:34:09,Badulla,Forest Fire,18,True,False,False,,
INC-2026-1982,2026-02-21T03:44:23,Rathnapura,Flood,1321,True,False,False,,
INC-2026-1084,2026-02-09T00:41:01,Anuradhapura,Drought,1835,True,False,False,,
INC-2025-1923,2025-09-10T01:58:41,Hambantota,High Winds/Cyclone,95,False,False,False,,
INC-2026-0100,2026-07-01T20:12:57,Kandy,Landslide,1413,True,True,True,,
INC-2025-1180,2025-09-11T18:26:21,Polonnaruwa,Drought,768,True,True,False,,
INC-2025-0965,2025-08-10T23:02:05,Nuwara Eliya,Landslide,1975,False,False,False,,
INC-2026-0793,2026-04-04T08:22:45,Hambantota,High Winds/Cyclone,116,False,False,False,,
INC-2026-0030,2026-08-07T22:08:06,Kandy,Landslide,1006,True,False,False,,
INC-2025-0629,2025-04-17T23:15:51,Kandy,Landslide,1217,False,False,False,,
INC-2025-0945,2025-04-27T22:57:48,Rathnapura,Flood,1359,False,True,False,,
INC-2025-0573,2025-02-22T06:49:01,Anuradhapura,Drought,731,True,True,False,,
INC-2026-0908,2026-01-04T13:38:54,Rathnapura,Flood,2698,False,False,False,,
INC-2025-1081,2025-05-18T12:00:24,Kandy,Landslide,833,True,True,False,,
INC-2026-0451,2026-06-26T17:48:04,Monaragala,Forest Fire,54,True,True,False,,
INC-2025-1610,2025-11-23T03:20:46,Monaragala,Forest Fire,70,True,False,False,,
INC-2025-1291,2025-05-17T11:41:04,Gampaha,Medical Emergency,16,True,False,False,,
INC-2025-1079,2025-10-23T06:19:52,Hambantota,High Winds/Cyclone,51,False,False,False,,
INC-2026-0255,2026-03-26T10:28:18,Kandy,Landslide,1614,True,False,True,,
INC-2025-0125,2025-03-02T15:56:24,Gampaha,Medical Emergency,46,True,True,False,,
INC-2026-1928,2026-04-18T13:11:07,Galle,High Winds/Cyclone,120,False,True,False,,
INC-2025-0252,2025-01-29T11:19:23,Matara,High Winds/Cyclone,382,True,False,False,,
INC-2025-0586,2025-02-22T22:37:43,Hambantota,High Winds/Cyclone,85,True,False,False,,
INC-2025-1569,2025-12-23T08:01:31,Matara,High Winds/Cyclone,150,True,False,False,,
INC-2026-0825,2026-03-19T02:40:41,Rathnapura,Flood,1537,False,False,False,,
INC-2026-0508,2026-05-13T13:29:58,Polonnaruwa,Drought,1259,False,True,False,,
INC-2025-0890,2025-06-19T20:44:52,Polonnaruwa,Drought,1145,True,False,False,,
INC-2025-0071,2025-11-06T16:52:09,Monaragala,Forest Fire,63,True,True,False,,
INC-2026-1609,2026-04-22T08:17:17,Gampaha,Medical Emergency,27,False,False,False,,
