Incident_ID,Timestamp,District,Province,Zone,Latitude,Longitude,Incident_Type,Severity_Level,Priority_Label,Affected_Population,Displaced_Population,Casualties,Missing_Persons,Required_Resources,Response_Time_Mins,Status,Reported_By,Report_Channel,Report_Language,Weather_Condition,Has_Photo_Evidence,Has_Video_Evidence,Offline_Submission,Is_Verified,Verified_By,Volunteers_Dispatched,Tasks_Created,Tasks_Completed,Relief_Tokens_Issued,Psych_Support_Needed,Damage_Category,Estimated_Loss_LKR,Is_Monsoon_Season,Month,Hour_Of_Day,Day_Of_Week
INC-2020-0009,2020-01-02T18:38:37.000Z,Matale,Central,HILL,7.546582,80.53356,Building Collapse,2,MEDIUM,2961,0,0,0,Rescue Teams|Search Dogs|Excavators,121,RESOLVED,VOLUNTEER,MOBILE_APP,SINHALA,FOG,False,True,False,False,,1,1,1,0,False,AGRICULTURAL,7057310,False,1,18,3
INC-2020-1169,2020-01-02T23:06:57.000Z,Kandy,Central,HILL,7.303897,80.716061,Drought,1,LOW,3260,0,0,0,Water Tankers|Medical Kits|Dry Rations|Livestock Feed,291,RESOLVED,VOLUNTEER,MOBILE_APP,SINHALA,SUNNY,False,False,False,False,,0,0,0,0,False,AGRICULTURAL,0,False,1,23,3
INC-2020-0602,2020-01-04T03:02:53.000Z,Kandy,Central,HILL,7.174253,80.532816,Landslide,2,MEDIUM,6274,0,0,0,Dry Rations,113,RESOLVED,CITIZEN,WEB_DASHBOARD,TAMIL,OVERCAST,False,False,False,False,,0,0,0,0,False,INFRASTRUCTURE,2150169,False,1,3,5
INC-2020-1080,2020-01-04T09:49:32.000Z,Batticaloa,Eastern,EAST_NORTH,7.63436,81.740346,Flood,1,LOW,622,0,0,0,Rescue Teams|Water Pumps,528,RESOLVED,CITIZEN,PHONE_CALL,TAMIL,OVERCAST,True,False,False,False,,0,0,0,0,False,AGRICULTURAL,0,False,1,9,5
INC-2020-0250,2020-01-04T17:29:37.000Z,Gampaha,Western,WET,7.154974,80.029846,High Winds/Cyclone,1,LOW,2648,0,0,0,Dry Rations|Rescue Teams|Medical Kits|Emergency Shelters,309,RESOLVED,CITIZEN,MOBILE_APP,ENGLISH,RAINY,False,False,False,False,,0,0,0,0,False,NONE,0,False,1,17,5
INC-2020-0172,2020-01-05T13:01:02.000Z,NuwaraEliya,Central,HILL,6.875255,80.821425,Flood,2,MEDIUM,115,0,0,0,Boats|Rescue Teams|Water Pumps,33,RESOLVED,DMC_OFFICER,MOBILE_APP,SINHALA,OVERCAST,False,False,False,True,GRAMA_NILADHARI,1,2,2,0,False,MIXED,8596067,False,1,13,6
INC-2020-1395,2020-01-05T15:31:28.000Z,Ampara,Eastern,EAST_NORTH,7.257663,81.596204,Flood,2,MEDIUM,2810,0,1,2,Boats|Rescue Teams,83,RESOLVED,DMC_OFFICER,MOBILE_APP,SINHALA,PARTLY_CLOUDY,False,True,False,True,GRAMA_NILADHARI,0,0,0,0,False,AGRICULTURAL,1095410,False,1,15,6
INC-2020-1144,2020-01-05T16:25:26.000Z,Anuradhapura,NorthCentral,DRY,8.426582,80.280943,Flood,1,LOW,189,0,0,0,Dry Rations|Tarpaulins|Medical Kits,111,CLOSED,DMC_OFFICER,MOBILE_APP,TAMIL,FOG,False,False,False,True,DMC_OFFICER,0,0,0,0,True,MIXED,0,False,1,16,6
INC-2020-0314,2020-01-05T21:52:54.000Z,Jaffna,Northern,EAST_NORTH,9.639466,80.159347,Flood,2,MEDIUM,1339,0,0,0,Water Pumps|Medical Kits,56,RESOLVED,VOLUNTEER,MOBILE_APP,TAMIL,RAINY,True,False,False,True,VOLUNTEER,2,2,0,0,False,NONE,0,False,1,21,6
INC-2020-0508,2020-01-06T05:09:27.000Z,Trincomalee,Eastern,EAST_NORTH,8.577018,81.056957,Flash Flood,3,HIGH,7748,4018,0,0,Water Pumps|Medical Kits|Rescue Teams|Boats,71,RESOLVED,CITIZEN,PHONE_CALL,SINHALA,RAINY,False,False,False,True,LOCAL_AUTHORITY,6,2,1,669,False,AGRICULTURAL,225346,False,1,5,0
