Incident_ID,Timestamp,District,Zone,Incident_Type,Severity_Level,Priority_Label,Affected_Population,Casualties,Required_Resources,Response_Time_Mins,Status,Reported_By,Report_Channel,Report_Language,Weather_Condition,Has_Photo_Evidence,Has_Video_Evidence,Offline_Submission,Is_Verified,Verified_By,Volunteers_Dispatched,Tasks_Created,Tasks_Completed,Relief_Tokens_Issued,Psych_Support_Needed,Damage_Category,Estimated_Loss_LKR,Is_Monsoon_Season,Month,Hour_Of_Day,Day_Of_Week,Has_Children,Has_Elderly,Has_Disabled
INC-2025-0001,2025-01-20T10:14:03,Puttalam,WET,High Winds/Cyclone,2,MEDIUM,340,0,Rescue Teams|Medical Kits,92,RESOLVED,CITIZEN,MOBILE_APP,SINHALA,RAIN,True,True,False,True,OFFICER-01,8,1,5,83,False,MODERATE,0,True,1,13,0,False,False,True
INC-2025-0002,2025-06-21T05:18:39,Badulla,WET,Forest Fire,1,LOW,67,0,Rescue Teams|Medical Kits,28,RESOLVED,CITIZEN,MOBILE_APP,SINHALA,RAIN,True,True,False,True,OFFICER-01,6,0,2,44,False,MODERATE,0,True,6,10,5,True,False,False
INC-2025-0003,2025-02-03T17:58:29,Kandy,WET,Landslide,4,CRITICAL,1994,8,Rescue Teams|Medical Kits,23,RESOLVED,CITIZEN,MOBILE_APP,SINHALA,RAIN,False,False,False,True,OFFICER-01,10,1,2,10,False,MODERATE,0,True,2,19,0,True,False,False
INC-2025-0004,2025-03-20T10:48:11,Kegalle,WET,High Winds/Cyclone,1,LOW,494,0,Rescue Teams|Medical Kits,36,RESOLVED,CITIZEN,MOBILE_APP,TAMIL,RAIN,False,False,False,True,OFFICER-01,3,1,3,48,False,MODERATE,0,True,3,8,3,True,True,False
INC-2026-0005,2026-05-13T02:27:36,Kandy,WET,Landslide,4,CRITICAL,1909,21,Rescue Teams|Medical Kits,87,RESOLVED,CITIZEN,MOBILE_APP,TAMIL,RAIN,True,True,False,True,OFFICER-01,5,1,5,63,False,MODERATE,0,True,5,10,2,False,True,True
INC-2026-0006,2026-05-15T07:37:38,Colombo,WET,Building Collapse,2,MEDIUM,78,1,Rescue Teams|Medical Kits,80,RESOLVED,CITIZEN,MOBILE_APP,ENGLISH,RAIN,True,True,False,True,OFFICER-01,1,0,0,19,False,MODERATE,0,True,5,18,4,True,False,False
INC-2026-0007,2026-06-13T13:05:21,Hambantota,WET,High Winds/Cyclone,2,MEDIUM,104,0,Rescue Teams|Medical Kits,102,RESOLVED,CITIZEN,MOBILE_APP,TAMIL,RAIN,False,True,False,True,OFFICER-01,4,5,2,14,False,MODERATE,0,True,6,17,5,True,False,False
INC-2025-0008,2025-12-04T16:36:42,Nuwara Eliya,WET,Landslide,3,HIGH,1123,9,Rescue Teams|Medical Kits,34,RESOLVED,CITIZEN,MOBILE_APP,ENGLISH,RAIN,True,False,False,True,OFFICER-01,2,4,4,0,False,MODERATE,0,True,12,20,3,False,False,False
INC-2026-0009,2026-01-15T12:16:14,Colombo,WET,Medical Emergency,2,MEDIUM,11,1,Rescue Teams|Medical Kits,23,RESOLVED,CITIZEN,MOBILE_APP,TAMIL,RAIN,False,True,False,True,OFFICER-01,2,1,5,60,False,MODERATE,0,True,1,18,3,False,True,True
INC-2025-0010,2025-07-25T21:00:49,Hambantota,WET,High Winds/Cyclone,2,MEDIUM,117,0,Rescue Teams|Medical Kits,62,RESOLVED,CITIZEN,MOBILE_APP,ENGLISH,RAIN,False,False,False,True,OFFICER-01,8,3,0,31,False,MODERATE,0,True,7,6,4,True,False,False
INC-2025-0011,2025-02-19T17:31:45,Kegalle,WET,High Winds/Cyclone,2,MEDIUM,473,9,Rescue Teams|Medical Kits,80,RESOLVED,CITIZEN,MOBILE_APP,SINHALA,RAIN,True,True,False,True,OFFICER-01,4,5,3,27,False,MODERATE,0,True,2,7,2,True,True,False
INC-2026-0012,2026-07-16T20:16:08,Galle,WET,High Winds/Cyclone,2,MEDIUM,196,0,Rescue Teams|Medical Kits,108,RESOLVED,CITIZEN,MOBILE_APP,SINHALA,RAIN,True,False,False,True,OFFICER-01,10,5,5,12,False,MODERATE,0,True,7,21,3,True,False,True
INC-2025-0013,2025-11-09T17:24:16,Kandy,WET,Flood,3,HIGH,4982,14,Rescue Teams|Medical Kits,85,RESOLVED,CITIZEN,MOBILE_APP,SINHALA,RAIN,True,False,False,True,OFFICER-01,0,5,4,1,False,MODERATE,0,True,11,14,6,True,True,False
INC-2026-0014,2026-08-09T07:28:44,Rathnapura,WET,Flood,4,CRITICAL,2738,27,Rescue Teams|Medical Kits,115,RESOLVED,CITIZEN,MOBILE_APP,ENGLISH,RAIN,True,False,False,True,OFFICER-01,4,3,5,93,False,MODERATE,0,True,8,12,6,True,False,True
INC-2025-0015,2025-05-01T05:37:19,Anuradhapura,WET,Drought,2,MEDIUM,888,0,Rescue Teams|Medical Kits,82,RESOLVED,CITIZEN,MOBILE_APP,SINHALA,RAIN,True,False,False,True,OFFICER-01,0,4,0,23,False,MODERATE,0,True,5,1,3,True,False,False
INC-2026-0016,2026-04-08T04:15:30,Rathnapura,WET,Flood,3,HIGH,1139,0,Rescue Teams|Medical Kits,81,RESOLVED,CITIZEN,MOBILE_APP,ENGLISH,RAIN,False,False,False,True,OFFICER-01,4,1,5,91,False,MODERATE,0,True,4,1,2,False,False,False
INC-2025-0017,2025-07-05T09:25:43,Colombo,WET,Medical Emergency,4,CRITICAL,26,1,Rescue Teams|Medical Kits,79,RESOLVED,CITIZEN,MOBILE_APP,ENGLISH,RAIN,False,False,False,True,OFFICER-01,2,2,0,31,False,MODERATE,0,True,7,19,5,False,False,True
INC-2025-0018,2025-08-10T08:33:00,Gampaha,WET,Medical Emergency,1,LOW,20,0,Rescue Teams|Medical Kits,99,RESOLVED,CITIZEN,MOBILE_APP,SINHALA,RAIN,True,False,False,True,OFFICER-01,2,2,0,13,False,MODERATE,0,True,8,16,6,True,False,False
INC-2025-0019,2025-07-31T12:56:19,Galle,WET,High Winds/Cyclone,1,LOW,122,0,Rescue Teams|Medical Kits,69,RESOLVED,CITIZEN,MOBILE_APP,ENGLISH,RAIN,True,False,False,True,OFFICER-01,0,0,2,98,False,MODERATE,0,True,7,15,3,True,False,False
INC-2026-0020,2026-05-10T20:39:14,Galle,WET,High Winds/Cyclone,1,LOW,117,0,Rescue Teams|Medical Kits,89,RESOLVED,CITIZEN,MOBILE_APP,TAMIL,RAIN,False,False,False,True,OFFICER-01,2,3,1,5,False,MODERATE,0,True,5,22,6,False,False,False
INC-2025-0021,2025-10-11T05:35:48,Nuwara Eliya,WET,Landslide,4,CRITICAL,2430,0,Rescue Teams|Medical Kits,34,RESOLVED,CITIZEN,MOBILE_APP,SINHALA,RAIN,False,False,False,True,OFFICER-01,2,1,3,3,False,MODERATE,0,True,10,17,5,True,True,False
INC-2026-0022,2026-07-27T02:33:24,Hambantota,WET,High Winds/Cyclone,1,LOW,92,0,Rescue Teams|Medical Kits,75,RESOLVED,CITIZEN,MOBILE_APP,SINHALA,RAIN,False,True,False,True,OFFICER-01,3,3,2,39,False,MODERATE,0,True,7,5,0,False,False,False
INC-2025-0023,2025-06-23T03:35:46,Kegalle,WET,High Winds/Cyclone,2,MEDIUM,312,0,Rescue Teams|Medical Kits,83,RESOLVED,CITIZEN,MOBILE_APP,ENGLISH,RAIN,False,False,False,True,OFFICER-01,0,0,2,22,False,MODERATE,0,True,6,11,0,True,True,False
INC-2025-0024,2025-01-30T17:09:57,Kandy,WET,Landslide,3,HIGH,722,6,Rescue Teams|Medical Kits,81,RESOLVED,CITIZEN,MOBILE_APP,TAMIL,RAIN,True,True,False,True,OFFICER-01,10,5,5,94,False,MODERATE,0,True,1,18,3,True,False,False
INC-2025-0025,2025-10-10T21:34:49,Matara,WET,High Winds/Cyclone,1,LOW,320,6,Rescue Teams|Medical Kits,104,RESOLVED,CITIZEN,MOBILE_APP,ENGLISH,RAIN,True,False,False,True,OFFICER-01,8,1,1,53,False,MODERATE,0,True,10,9,4,False,False,False
INC-2026-0026,2026-06-11T02:07:17,Colombo,WET,Building Collapse,2,MEDIUM,42,1,Rescue Teams|Medical Kits,42,RESOLVED,CITIZEN,MOBILE_APP,TAMIL,RAIN,False,False,False,True,OFFICER-01,7,5,1,84,False,MODERATE,0,True,6,19,3,True,True,False
INC-2025-0027,2025-08-09T10:09:43,Rathnapura,WET,Flood,4,CRITICAL,2055,0,Rescue Teams|Medical Kits,75,RESOLVED,CITIZEN,MOBILE_APP,TAMIL,RAIN,True,True,False,True,OFFICER-01,1,3,3,80,False,MODERATE,0,True,8,9,5,True,False,False
INC-2026-0028,2026-07-12T22:56:18,Matara,WET,High Winds/Cyclone,2,MEDIUM,296,0,Rescue Teams|Medical Kits,104,RESOLVED,CITIZEN,MOBILE_APP,TAMIL,RAIN,False,True,False,True,OFFICER-01,7,0,4,31,False,MODERATE,0,True,7,3,6,False,True,False
INC-2025-0029,2025-12-21T13:03:54,Puttalam,WET,High Winds/Cyclone,1,LOW,268,0,Rescue Teams|Medical Kits,85,RESOLVED,CITIZEN,MOBILE_APP,ENGLISH,RAIN,False,False,False,True,OFFICER-01,2,5,3,57,False,MODERATE,0,True,12,14,6,False,False,False
INC-2026-0030,2026-08-07T22:08:06,Kandy,WET,Landslide,4,CRITICAL,1006,0,Rescue Teams|Medical Kits,84,RESOLVED,CITIZEN,MOBILE_APP,SINHALA,RAIN,False,True,False,True,OFFICER-01,2,1,1,49,False,MODERATE,0,True,8,2,4,True,False,False
INC-2026-0031,2026-07-03T16:36:26,Galle,WET,High Winds/Cyclone,2,MEDIUM,104,2,Rescue Teams|Medical Kits,112,RESOLVED,CITIZEN,MOBILE_APP,TAMIL,RAIN,False,False,False,True,OFFICER-01,6,3,0,45,False,MODERATE,0,True,7,12,4,True,True,False
INC-2026-0032,2026-08-09T05:47:39,Nuwara Eliya,WET,Landslide,3,HIGH,1598,31,Rescue Teams|Medical Kits,64,RESOLVED,CITIZEN,MOBILE_APP,ENGLISH,RAIN,True,True,False,True,OFFICER-01,10,5,3,92,False,MODERATE,0,True,8,7,6,False,False,False
INC-2025-0033,2025-12-30T00:47:01,Hambantota,WET,High Winds/Cyclone,1,LOW,66,0,Rescue Teams|Medical Kits,21,RESOLVED,CITIZEN,MOBILE_APP,ENGLISH,RAIN,False,True,False,True,OFFICER-01,6,2,1,58,False,MODERATE,0,True,12,2,1,False,False,False
INC-2025-0034,2025-09-20T03:27:58,Colombo,WET,Medical Emergency,1,LOW,34,1,Rescue Teams|Medical Kits,20,RESOLVED,CITIZEN,MOBILE_APP,SINHALA,RAIN,True,True,False,True,OFFICER-01,3,1,0,79,False,MODERATE,0,True,9,11,5,True,True,False
INC-2025-0035,2025-07-05T06:48:00,Galle,WET,High Winds/Cyclone,1,LOW,82,0,Rescue Teams|Medical Kits,29,RESOLVED,CITIZEN,MOBILE_APP,SINHALA,RAIN,True,False,False,True,OFFICER-01,4,0,4,3,False,MODERATE,0,True,7,11,5,False,False,False
